,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
63,Er. V P Vashisht,2022-09-26 08:50:17+00:00,1,1,Twitter Web App,"#Cash_IncentiveForStubble 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान… https://t.co/3tYRQdsefK"
64,ਸਿਮਰਨ ਕੌਰ ਬਾਜਵਾ,2022-09-26 08:50:16+00:00,0,19,Twitter for Android,"RT @JagjitS37628148: ਸਤਿ ਸ਼੍ਰੀ ਅਕਾਲ ਜੀ
🙏🙏🙏🙏🙏

Sat Shri Akal ji
Good Morning Everyone s

#FarmersProtest
#Cash_IncentiveForStubble"
65,Er. V P Vashisht,2022-09-26 08:49:13+00:00,0,1,Twitter Web App,"#FarmersProtest 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...… https://t.co/cYvgd5j84r"
66,Er. V P Vashisht,2022-09-26 08:49:01+00:00,1,2,Twitter Web App,"#BanEVM_Save_India 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...… https://t.co/wwP000eo80"
67,Er. V P Vashisht,2022-09-26 08:48:52+00:00,1,2,Twitter Web App,"#IndiaOnSale 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...
#OPS… https://t.co/tfCcyoc5Yc"
68,Solanki Shailesh,2022-09-26 08:48:50+00:00,0,14,Twitter Web App,"RT @vashishtvp: #किसानों_को_मुआवजा_दे_सरकार
Let perseverance be your engine and hope your fuel.
#OPS #MSP #BanEVM #WeWantOPS
#SAVE_IT_CADRE…"
69,Er. V P Vashisht,2022-09-26 08:48:41+00:00,1,2,Twitter Web App,"#RestoreOPS 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...
#OPS… https://t.co/G1yHD1lmu4"
70,Er. V P Vashisht,2022-09-26 08:48:18+00:00,0,1,Twitter Web App,"#WeWantOPS
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...
#OPS #MSP… https://t.co/BKJdK0U1UW"
71,Er. V P Vashisht,2022-09-26 08:48:06+00:00,1,1,Twitter Web App,"#BanEVM 
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...
#OPS #MSP… https://t.co/BnApim5aEi"
72,Er. V P Vashisht,2022-09-26 08:47:56+00:00,1,2,Twitter Web App,"#OPS #MSP #BanEVM #WeWantOPS
#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान… https://t.co/VxqOiJ4s8y"
73,Er. V P Vashisht,2022-09-26 08:47:24+00:00,1,2,Twitter Web App,"#झूठ_का_अड्डा_JP_नड्डा तभी तो संभव हुआ अध्यक्ष होना और #PM_मोदी जी का भगवानों के भगवान होना...
#OPS #MSP #BanEVM… https://t.co/7Y33nk5CO2"
74,Yogesh Ranwa,2022-09-26 08:46:53+00:00,0,12,Twitter for Android,RT @rameshdhullpai: हजारों किसानों के साथ हमारे किसान आंदोलन के संघर्ष के साथी किसान नेता  Abhimanyu Kohar और किसानों को बैंगलोर में गिर…
75,Solanki Shailesh,2022-09-26 08:46:02+00:00,0,8,Twitter Web App,"RT @vashishtvp: #BanEVM_Save_India 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#Rest…"
76,Jaysukh,2022-09-26 08:45:32+00:00,0,8,Twitter Web App,"RT @vashishtvp: #पुरानी_पेंशन_बहाल_करो 
Fight for Right &amp; Justice...
#OPS #MSP #BanEVM #WeWantOPS
#SAVE_IT_CADRE_SAVE_IR
#BanEVM_Save_India…"
77,Anand Zala,2022-09-26 08:44:32+00:00,0,5,Twitter Web App,"RT @vashishtvp: #OPSforAnkita
Fight for Right &amp; Justice.
#OPS #MSP #BanEVM #WeWantOPS
#SAVE_IT_CADRE_SAVE_IR
#BanEVM_Save_India
#RestoreOPS…"
78,Solanki Shailesh,2022-09-26 08:43:24+00:00,0,5,Twitter Web App,"RT @vashishtvp: #झूठ_का_अड्डा_JP_नड्डा 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#…"
79,Sonu Duhan,2022-09-26 08:41:58+00:00,0,12,Twitter for Android,RT @rameshdhullpai: हजारों किसानों के साथ हमारे किसान आंदोलन के संघर्ष के साथी किसान नेता  Abhimanyu Kohar और किसानों को बैंगलोर में गिर…
80,Shah Jainam,2022-09-26 08:41:47+00:00,0,9,Twitter for Android,"RT @vashishtvp: #OPS #MSP #BanEVM #WeWantOPS
Hard times always lead to something great.
#SAVE_IT_CADRE_SAVE_IR
#BanEVM_Save_India
#RestoreO…"
81,BheemBoy💕🇮🇳 Eat Millets Stay Healthy🙏,2022-09-26 08:36:51+00:00,0,0,Twitter Web App,"వల్గర్ గ్యాంగ్, అబద్దం గ్యాంగ్, సుంట గ్యాంగ్ కి ధీటుగా సరైన సమాధానం ఇచ్చే అందరికి శతకోటి దండాలయ్య  దండాలమ్మ🙏
క్షమిం… https://t.co/jAqIbg24xU"
82,Raj Narayan 🇮🇳,2022-09-26 08:36:51+00:00,0,8,Twitter for Android,"RT @vashishtvp: #BanEVM_Save_India 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#Rest…"
83,Shantilal kasundra,2022-09-26 08:36:37+00:00,0,3,Twitter for Android,"RT @vashishtvp: #IndiaOnSale
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#BanEVM_Save…"
84,Shantilal kasundra,2022-09-26 08:36:23+00:00,0,8,Twitter for Android,"RT @vashishtvp: #BanEVM_Save_India 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#Rest…"
85,Shantilal kasundra,2022-09-26 08:36:13+00:00,0,4,Twitter for Android,"RT @vashishtvp: #FarmersProtest 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#BanEVM_…"
86,Shantilal kasundra,2022-09-26 08:36:09+00:00,0,6,Twitter for Android,"RT @vashishtvp: #StopPrivatization 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#BanE…"
87,Shantilal kasundra,2022-09-26 08:35:59+00:00,0,4,Twitter for Android,"RT @vashishtvp: #RestoreOldPension 
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#BanE…"
88,Hansha Patel,2022-09-26 08:35:50+00:00,0,3,Twitter for Android,"RT @vashishtvp: #IndiaOnSale
Life is a circle of happiness, sadness, hard times, and good times… 
#OPS #MSP #BanEVM #WeWantOPS
#BanEVM_Save…"
89,Karnataka Tak,2022-09-26 08:35:37+00:00,0,0,Twitter Web App,"'Vidhana Soudha Chalo' By Farmers : ರೈತರ ವಿಧಾನಸೌಧ ಚಲೋಗೆ ಖಾಕಿ ಅಡ್ಡಗಾಲು ||Karnataka Tak||

#vidhansoudha… https://t.co/XVlYRNwSB2"
90,Hansha Patel,2022-09-26 08:35:37+00:00,0,3,Twitter for Android,"RT @vashishtvp: #झूठ_का_अड्डा_JP_नड्डा 
Fight for Right &amp; Justice...
#OPS #MSP #BanEVM #WeWantOPS
#SAVE_IT_CADRE_SAVE_IR
#BanEVM_Save_India…"
91,Hansha Patel,2022-09-26 08:34:50+00:00,0,2,Twitter for Android,"RT @vashishtvp: #IndiaOnSale 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #WeWantOPS…"
92,Hansha Patel,2022-09-26 08:34:47+00:00,0,2,Twitter for Android,"RT @vashishtvp: #StopPrivatization 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #WeW…"
93,Hansha Patel,2022-09-26 08:34:45+00:00,0,2,Twitter for Android,"RT @vashishtvp: #BanEVM_Save_India 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #WeW…"
94,Hansha Patel,2022-09-26 08:34:42+00:00,0,2,Twitter for Android,"RT @vashishtvp: #FarmersProtest 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #WeWant…"
95,Hansha Patel,2022-09-26 08:34:37+00:00,0,3,Twitter for Android,"RT @vashishtvp: #RestoreOldPension 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #WeW…"
96,Hansha Patel,2022-09-26 08:34:32+00:00,0,5,Twitter for Android,"RT @vashishtvp: #पुरानी_पेशन_बहाल_करो 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanEVM #…"
97,Hansha Patel,2022-09-26 08:34:23+00:00,0,5,Twitter for Android,"RT @vashishtvp: #Cash_IncentiveForStubble 
If you are going through hard times, have faith that good times are on the way… 
#OPS #MSP #BanE…"
98,ਮੁੰਡਾਂ ਮਾਨਾਂ ਦਾ,2022-09-26 08:33:47+00:00,0,1,Twitter for Android,RT @ohiyar2479: #Cash_IncentiveForStubble #ZiraSanjhaMorcha #FarmersProtest #1158AssistantProfessorAndLibrarians https://t.co/ZCaElFTxe7
99,Anil Hooda,2022-09-26 08:30:54+00:00,0,12,Twitter for iPhone,RT @rameshdhullpai: हजारों किसानों के साथ हमारे किसान आंदोलन के संघर्ष के साथी किसान नेता  Abhimanyu Kohar और किसानों को बैंगलोर में गिर…
,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
0,Pedapudi Saratkumar,2022-09-26 08:23:23+00:00,0,29,Twitter for Android,"RT @NITIAayog: #IndiaFightsCorona with courage 💪

@ONGC_ employees and officers are going the extra mile by continuing to work on offshore…"
1,Anish Negi,2022-09-26 08:22:04+00:00,0,5,Anish Bot,"RT @PIBChandigarh: To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona #LargestVaccineDrive…"
2,Bimlendu,2022-09-26 08:21:13+00:00,0,5,Bimlendu Bot,"RT @PIBChandigarh: To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona #LargestVaccineDrive…"
3,vivek bb,2022-09-26 08:18:40+00:00,0,5,vivek_vaibhav_bot,"RT @PIBChandigarh: To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona #LargestVaccineDrive…"
4,Balwant Thakur,2022-09-26 08:17:49+00:00,0,5,balwant_bot,"RT @PIBChandigarh: To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona #LargestVaccineDrive…"
5,India Blooms,2022-09-26 08:13:17+00:00,0,0,Twitter Web App,"India reports 4,129 new Covid-19 cases in 24 hours | Indiablooms - First Portal on Digital News Management… https://t.co/reDgqIQ5bd"
6,Andhravilas,2022-09-26 08:08:09+00:00,0,0,IFTTT,Three IIT Varanasi students among 7 killed in Himachal accident (Ld) https://t.co/qKz1CtrGbM #Lockdown… https://t.co/MIBUixYUai
7,"Central Bureau of Communication, Aligarh",2022-09-26 07:50:30+00:00,0,0,Twitter for Android,"#IndiaFightsCorona:

➡️217.68 crore vaccine doses administered so far

➡️89.38 crore total tests conducted so far… https://t.co/kPeiJlmBgJ"
8,"CBC,FO, KADAPA, AP",2022-09-26 07:30:44+00:00,0,2,Twitter for Android,"RT @pibvijayawada: 📍Update on COVID-19 Vaccine Availability in States/UTs

💠More than 203.53 Crore vaccine doses provided to States/UTs

💠M…"
9,"CBC, FO,Kurnool,AP",2022-09-26 07:29:46+00:00,0,2,Twitter for Android,"RT @pibvijayawada: 📍Update on COVID-19 Vaccine Availability in States/UTs

💠More than 203.53 Crore vaccine doses provided to States/UTs

💠M…"
10,Nehru Yuva Kendra Ferozepur,2022-09-26 07:29:40+00:00,0,13,Twitter for Android,"RT @PIB_India: Update on #COVID19 vaccine availability in States/UTs 

✅More than 203.10 Crore vaccine doses provided to States/UTs

✅More…"
11,Nehru Yuva Kendra Ferozepur,2022-09-26 07:27:39+00:00,0,7,Twitter for Android,"RT @PIB_India: Update on COVID-19 Vaccine Availability in States/UTs

✅More than 203.29 Crore vaccine doses provided to States/UTs

✅More t…"
12,Nehru Yuva Kendra Ferozepur,2022-09-26 07:24:27+00:00,0,13,Twitter for Android,"RT @PIB_India: PIB’S BULLETIN ON #COVID19 

💠12,27,054 doses administered in last 24 hours

💠India's Active caseload currently stands at 46…"
13,Nehru Yuva Kendra Ferozepur,2022-09-26 07:23:32+00:00,0,6,Twitter for Android,"RT @PIB_India: Update on #COVID19 vaccine availability in States/UTs 

✅More than 203.45 Crore vaccine doses provided to States/UTs

✅More…"
14,Nehru Yuva Kendra Ferozepur,2022-09-26 07:22:06+00:00,0,10,Twitter for Android,"RT @PIB_India: PIB’S BULLETIN ON #COVID19 

💠15,85,343 doses administered in last 24 hours

💠India's Active caseload currently stands at 46…"
15,Nehru Yuva Kendra Ferozepur,2022-09-26 07:21:53+00:00,0,5,Twitter for Android,"RT @PIB_India: #COVID19 Vaccination Update - Day 615

💠India’s cumulative vaccination coverage crosses 217.24 Crore

💠More than 11 lakh Vac…"
16,Nehru Yuva Kendra Ferozepur,2022-09-26 07:19:19+00:00,0,6,Twitter for Android,"RT @PIB_India: #COVID19 UPDATE

💠14,76,840 doses administered in last 24 hours

💠India's Active caseload currently stands at 44,436

💠Recov…"
17,Nehru Yuva Kendra Ferozepur,2022-09-26 07:19:16+00:00,0,7,Twitter for Android,"RT @PIB_India: ▪️India’s Cumulative COVID-19 Vaccination Coverage exceeds 217.41 Cr

▪️Over 4.09 Cr 1st dose vaccines administered for age…"
18,Nehru Yuva Kendra Ferozepur,2022-09-26 07:19:13+00:00,0,17,Twitter for Android,"RT @PIB_India: 📍Update on COVID-19 Vaccine Availability in States/UTs

💠More than 203.53 Crore vaccine doses provided to States/UTs

💠More…"
19,Nehru Yuva Kendra Ferozepur,2022-09-26 07:18:11+00:00,0,6,Twitter for Android,"RT @PIB_India: #COVID19 Update

💠15,63,151 doses administered in last 24 hours

💠India's Active caseload currently stands at 43,994

💠Recov…"
20,PIB in Gujarat 🇮🇳,2022-09-26 07:16:26+00:00,0,0,Twitter Web App,"ભારતનું સંચિત #COVID19 રસીકરણ કવરેજ લગભગ 217.68 કરોડને પાર

12-14 વર્ષની વય જૂથ માટે 4.09 કરોડથી વધુ રસીના ડોઝ આપવા… https://t.co/CY0i7DblcG"
21,PIB in Gujarat 🇮🇳,2022-09-26 07:13:23+00:00,0,0,Twitter Web App,"રાજ્યો/કેન્દ્રશાસિત પ્રદેશોમાં #COVID19 રસીની ઉપલબ્ધતા અંગે અપડેટ

રાજ્યો/કેન્દ્રશાસિત પ્રદેશોને 203.53 કરોડથી વધુ… https://t.co/ir9GsmKdgo"
22,nutanpress,2022-09-26 07:05:01+00:00,1,0,Twitter Web App,"#coronavirus  #coronaupdate #IndiaFightsCorona #Coronanews #covid19 #coronaupdateinindia 
https://t.co/AVPyfUn6UZ… https://t.co/P9MIUeeJSJ"
23,Andhravilas,2022-09-26 06:38:25+00:00,0,0,IFTTT,Fruit merchant with suspected IS links arrested in K'taka https://t.co/ZdtubCLkql #Covid19India #Breakingnews… https://t.co/VEQNBAxtSz
24,"Ⅽentral Bureau of Communication, Udhampur, J&K",2022-09-26 06:06:37+00:00,0,5,Twitter for Android,"RT @PIBChandigarh: To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona #LargestVaccineDrive…"
25,PIB in Chandigarh | #AmritMahotsav,2022-09-26 06:03:00+00:00,6,5,Twitter Media Studio,"To check your eligibility visit https://t.co/DpWcSw706K, and get your jab fast.

#IndiaFightsCorona… https://t.co/F697lTWeiB"
26,AJAY DUDANI,2022-09-26 06:01:11+00:00,0,1,Twitter for Android,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

#COVID19 UPDATE (As on 26th September, 2022) 

➡️4,129 daily new cases in the last 24 hours 

➡️Da…"
27,#IndiaFightsCorona,2022-09-26 05:52:23+00:00,0,0,Twitter Web App,"#IndiaFightsCorona: 

➡️4,688 patients recovered during last 24 hours 

➡️4.40 crore total recoveries across the co… https://t.co/Fug9SKdOgh"
28,#IndiaFightsCorona,2022-09-26 05:52:21+00:00,0,0,Twitter Web App,"#IndiaFightsCorona:

➡️217.68 crore vaccine doses administered so far

➡️89.38 crore total tests conducted so far… https://t.co/Rme5k2Vpu7"
29,#IndiaFightsCorona,2022-09-26 05:52:19+00:00,0,0,Twitter Web App,"#IndiaFightsCorona: 

➡️Active caseload stands at 43,415

➡️Active cases stand at 0.10%

➡️Weekly positivity rate c… https://t.co/Wx83wib52a"
30,#IndiaFightsCorona,2022-09-26 05:52:17+00:00,3,1,Twitter Web App,"#IndiaFightsCorona:

#COVID19 UPDATE (As on 26th September, 2022) 

➡️4,129 daily new cases in the last 24 hours… https://t.co/HDdT68tR3O"
31,Kurukshetra Vibes,2022-09-26 05:42:43+00:00,0,2,SmartDrongo,"RT @school_finds: #Covid_19 HARYANA Corona update 25-SEPT-22 

https://t.co/fiOgG406OW

#COVID19India  #Statewise #IndiaFightsCorona  #Roht…"
32,SchoolFinds,2022-09-26 05:42:38+00:00,1,2,Twitter Web App,"#Covid_19 HARYANA Corona update 25-SEPT-22 

https://t.co/fiOgG406OW

#COVID19India  #Statewise #IndiaFightsCorona… https://t.co/epa1Fnxh2r"
33,"Central Bureau of Communication, RO, Imphal",2022-09-26 05:28:01+00:00,0,1,Twitter for Android,"RT @PIBImphal: #IndiaFightsCorona 
ভারতকী অপুনবা কোবিদ-১৯ ভেক্সিনেসনগী কবরেজ অসি করোর 217.68 হেনখ্রে

চহি কাংলুপ 12-14গী ওইনা ভেক্সিনগী অহা…"
34,"Central Bureau of Communication, RO, Imphal",2022-09-26 05:27:57+00:00,0,1,Twitter for Android,"RT @PIBImphal: #IndiaFightsCorona 
রাজ্য/য়ু.তি.শিংদা লৈরিবা কোবিদ-১৯ ভেক্সিনগী অপদেৎ

রাজ্য/য়ু.তি.শিংদা ভেক্সিন দোজ করোর 203.53 হেন্না পী…"
35,"Central Bureau of Communication, RO, Imphal",2022-09-26 05:27:47+00:00,0,1,Twitter for Android,"RT @PIBImphal: #IndiaFightsCorona 
কোবিদ-১৯গী অপদেৎ

লৈবাক শিনবা থুংনা চত্থরিবা তিকা থাবগী খোঙজংগী মখাদা তিকা দোজ পুন্না করোর 217.68 (অনিশু…"
36,SchoolFinds,2022-09-26 05:27:37+00:00,0,0,Twitter Web App,"#India Check COVID-19 / Government / Private hospitals list

https://t.co/bwsOZW6zeY 

#hospital #HospitalPlaylist… https://t.co/cGaDayVQKH"
37,#IndiaFightsCorona,2022-09-26 05:22:58+00:00,2,1,Twitter Web App,"#IndiaFightsCorona:

📍More than 1 Lakh (1,64,377) #COVID19 samples tested in the last 24 hours.

✅Together, we can… https://t.co/HSfNlR8E1r"
38,#IndiaFightsCorona,2022-09-26 05:21:17+00:00,1,1,Twitter Web App,"#IndiaFightsCorona:

📍#COVID19 Active Cases in India (As on 26th September, 2022): 43,415

✅Keep following… https://t.co/uDsrsZX13q"
39,PIB in Manipur,2022-09-26 05:20:53+00:00,0,1,Twitter for Android,"#IndiaFightsCorona 
ভারতকী অপুনবা কোবিদ-১৯ ভেক্সিনেসনগী কবরেজ অসি করোর 217.68 হেনখ্রে

চহি কাংলুপ 12-14গী ওইনা ভে… https://t.co/eIW3XSMAQ2"
40,#IndiaFightsCorona,2022-09-26 05:20:05+00:00,2,1,Twitter Web App,"#IndiaFightsCorona:

📍𝑴𝒐𝒓𝒆 𝒕𝒉𝒂𝒏 11 lakh (11,67,772) 𝒗𝒂𝒄𝒄𝒊𝒏𝒆 𝒅𝒐𝒔𝒆𝒔 𝒂𝒅𝒎𝒊𝒏𝒊𝒔𝒕𝒆𝒓𝒆𝒅 𝒊𝒏 𝒕𝒉𝒆 𝒍𝒂𝒔𝒕 24 𝒉𝒐𝒖𝒓𝒔.

☑️Together we… https://t.co/aPg971FyUK"
41,PIB in Manipur,2022-09-26 05:18:13+00:00,0,1,Twitter for Android,"#IndiaFightsCorona 
রাজ্য/য়ু.তি.শিংদা লৈরিবা কোবিদ-১৯ ভেক্সিনগী অপদেৎ

রাজ্য/য়ু.তি.শিংদা ভেক্সিন দোজ করোর 203.53… https://t.co/XJy4G06vVX"
